trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,2090,180654.5,natural,new,na,subsequent_forgotten
2,2049,181901.5,natural,new,correctreject,na
3,2041,184256.5,natural,new,correctreject,subsequent_remembered
4,2049,185756,natural,new,correctreject,na
5,2041,187668.5,natural,new,correctreject,subsequent_remembered
6,2049,189664.5,natural,new,correctreject,na
7,2041,191145,natural,new,correctreject,subsequent_remembered
8,1049,193017,manmade,new,correctreject,na
9,1041,194722,manmade,new,correctreject,subsequent_remembered
10,1049,196483,manmade,new,correctreject,na
11,2041,198166.5,natural,new,correctreject,subsequent_remembered
12,2049,200226.5,natural,new,correctreject,na
13,1040,201820,manmade,new,correctreject,subsequent_forgotten
14,1049,204083.5,manmade,new,correctreject,na
15,1041,206158.5,manmade,new,correctreject,subsequent_remembered
16,1049,208004,manmade,new,correctreject,na
17,2041,210255,natural,new,correctreject,subsequent_remembered
18,2049,212617,natural,new,correctreject,na
19,2041,214106,natural,new,correctreject,subsequent_remembered
20,2049,215910.5,natural,new,correctreject,na
21,2040,217535,natural,new,correctreject,subsequent_forgotten
22,2049,219630,natural,new,correctreject,na
23,1041,222182.5,manmade,new,correctreject,subsequent_remembered
24,1049,224366,manmade,new,correctreject,na
25,1041,226120,manmade,new,correctreject,subsequent_remembered
26,2049,228269.5,natural,new,correctreject,na
27,2111,229757.5,natural,old,hit,subsequent_remembered
28,1041,231581.5,manmade,new,correctreject,subsequent_remembered
29,2111,232955,natural,old,hit,subsequent_remembered
30,1049,234484,manmade,new,correctreject,na
31,2041,236455.5,natural,new,correctreject,subsequent_remembered
32,1049,238330,manmade,new,correctreject,na
33,1041,239786,manmade,new,correctreject,subsequent_remembered
34,2049,241979,natural,new,correctreject,na
35,2111,243331,natural,old,hit,subsequent_remembered
36,1041,245006.5,manmade,new,correctreject,subsequent_remembered
37,2049,247494.5,natural,new,correctreject,na
38,1111,249870,manmade,old,hit,subsequent_remembered
39,1111,252040,manmade,old,hit,subsequent_remembered
40,2031,253480.5,natural,new,falsealarm,subsequent_remembered
41,2111,255102,natural,old,hit,subsequent_remembered
42,1049,256644.5,manmade,new,correctreject,na
43,1111,258604.5,manmade,old,hit,subsequent_remembered
44,1041,260251.5,manmade,new,correctreject,subsequent_remembered
45,2111,261542.5,natural,old,hit,subsequent_remembered
46,1111,263167.5,manmade,old,hit,subsequent_remembered
47,1111,265279,manmade,old,hit,subsequent_remembered
48,1049,267378,manmade,new,correctreject,na
49,1111,269105,manmade,old,hit,subsequent_remembered
50,1041,270785.5,manmade,new,correctreject,subsequent_remembered
51,1121,272164.5,manmade,old,miss,subsequent_remembered
52,1049,273541.5,manmade,new,correctreject,na
53,2041,275233,natural,new,correctreject,subsequent_remembered
54,2049,276582.5,natural,new,correctreject,na
55,2040,277982,natural,new,correctreject,subsequent_forgotten
56,1049,279773.5,manmade,new,correctreject,na
57,2119,281534,natural,old,hit,na
58,2041,283803.5,natural,new,correctreject,subsequent_remembered
59,1119,285705.5,manmade,old,hit,na
60,1111,287276.5,manmade,old,hit,subsequent_remembered
61,2121,289308,natural,old,miss,subsequent_remembered
62,1119,290720.5,manmade,old,hit,na
63,1119,292607.5,manmade,old,hit,na
64,2111,293963,natural,old,hit,subsequent_remembered
65,1039,295965.5,manmade,new,falsealarm,na
66,2041,297546,natural,new,correctreject,subsequent_remembered
67,2119,299930.5,natural,old,hit,na
68,1111,301749,manmade,old,hit,subsequent_remembered
69,2119,303598,natural,old,hit,na
70,1119,304750,manmade,old,hit,na
71,2119,306753,natural,old,hit,na
72,1049,308012,manmade,new,correctreject,na
73,1119,309802.5,manmade,old,hit,na
74,2119,311414.5,natural,old,hit,na
75,2041,313704,natural,new,correctreject,subsequent_remembered
76,2111,315113.5,natural,old,hit,subsequent_remembered
77,2111,316353,natural,old,hit,subsequent_remembered
78,2049,318473.5,natural,new,correctreject,na
79,2111,320404,natural,old,hit,subsequent_remembered
80,2040,321948.5,natural,new,correctreject,subsequent_forgotten
81,2121,323969,natural,old,miss,subsequent_remembered
82,1049,326057.5,manmade,new,correctreject,na
83,1111,327857.5,manmade,old,hit,subsequent_remembered
84,1119,329606.5,manmade,old,hit,na
85,1119,331658.5,manmade,old,hit,na
86,2031,332916,natural,new,falsealarm,subsequent_remembered
87,2119,335449,natural,old,hit,na
88,2049,336800,natural,new,correctreject,na
89,2041,338497.5,natural,new,correctreject,subsequent_remembered
90,2049,340980.5,natural,new,correctreject,na
91,1041,343701,manmade,new,correctreject,subsequent_remembered
92,2049,345263,natural,new,correctreject,na
93,1041,346588,manmade,new,correctreject,subsequent_remembered
94,2049,347886,natural,new,correctreject,na
95,2119,349479.5,natural,old,hit,na
96,1031,350851.5,manmade,new,falsealarm,subsequent_remembered
97,2039,352470,natural,new,falsealarm,na
98,1119,354729,manmade,old,hit,na
99,2111,356234,natural,old,hit,subsequent_remembered
100,2119,358310,natural,old,hit,na
101,2119,360764.5,natural,old,hit,na
102,2041,362957,natural,new,correctreject,subsequent_remembered
103,2119,364835,natural,old,hit,na
104,2121,366813,natural,old,miss,subsequent_remembered
105,2039,368486,natural,new,falsealarm,na
106,1031,369946.5,manmade,new,falsealarm,subsequent_remembered
107,2049,371726,natural,new,correctreject,na
108,2041,373712.5,natural,new,correctreject,subsequent_remembered
109,2049,374970,natural,new,correctreject,na
110,2111,376284.5,natural,old,hit,subsequent_remembered
111,1119,377723,manmade,old,hit,na
112,2031,379734.5,natural,new,falsealarm,subsequent_remembered
113,2111,381302,natural,old,hit,subsequent_remembered
114,2119,383978.5,natural,old,hit,na
115,2120,387009,natural,old,miss,subsequent_forgotten
116,2049,389110,natural,new,correctreject,na
117,2031,390806.5,natural,new,falsealarm,subsequent_remembered
118,2111,392914.5,natural,old,hit,subsequent_remembered
119,1049,394264,manmade,new,correctreject,na
120,1111,395824.5,manmade,old,hit,subsequent_remembered
121,1041,397862.5,manmade,new,correctreject,subsequent_remembered
122,1049,399409.5,manmade,new,correctreject,na
123,2031,400912.5,natural,new,falsealarm,subsequent_remembered
124,2111,402911,natural,old,hit,subsequent_remembered
125,2129,404401.5,natural,old,miss,na
126,2049,405996.5,natural,new,correctreject,na
127,2111,408187.5,natural,old,hit,subsequent_remembered
128,2041,409565.5,natural,new,correctreject,subsequent_remembered
129,1111,411347.5,manmade,old,hit,subsequent_remembered
130,2049,413238.5,natural,new,correctreject,na
131,2041,415064.5,natural,new,correctreject,subsequent_remembered
132,1049,418629,manmade,new,correctreject,na
133,1041,419958,manmade,new,correctreject,subsequent_remembered
134,2119,422713.5,natural,old,hit,na
135,2039,429070,natural,new,falsealarm,na
136,1119,431112.5,manmade,old,hit,na
137,2119,432327,natural,old,hit,na
138,2111,434462,natural,old,hit,subsequent_remembered
139,2041,436090,natural,new,correctreject,subsequent_remembered
140,2119,437428.5,natural,old,hit,na
141,2119,439255,natural,old,hit,na
142,1039,440608,manmade,new,falsealarm,na
143,1119,442625.5,manmade,old,hit,na
144,1111,444791,manmade,old,hit,subsequent_remembered
145,2031,446454,natural,new,falsealarm,subsequent_remembered
146,1049,448062.5,manmade,new,correctreject,na
147,2111,449506.5,natural,old,hit,subsequent_remembered
148,1040,451011.5,manmade,new,correctreject,subsequent_forgotten
149,1039,452832.5,manmade,new,falsealarm,na
150,2111,454351.5,natural,old,hit,subsequent_remembered
151,2119,455852.5,natural,old,hit,na
152,2041,457517.5,natural,new,correctreject,subsequent_remembered
153,1111,459179,manmade,old,hit,subsequent_remembered
154,1049,460811.5,manmade,new,correctreject,na
155,2111,463606,natural,old,hit,subsequent_remembered
156,2119,465188.5,natural,old,hit,na
157,1111,466709,manmade,old,hit,subsequent_remembered
158,1120,468886,manmade,old,miss,subsequent_forgotten
159,1041,470747,manmade,new,correctreject,subsequent_remembered
160,1049,472532,manmade,new,correctreject,na
161,2111,474651.5,natural,old,hit,subsequent_remembered
162,2111,476925,natural,old,hit,subsequent_remembered
163,2119,479185,natural,old,hit,na
164,2040,481077.5,natural,new,correctreject,subsequent_forgotten
165,2119,482672.5,natural,old,hit,na
166,1049,484349.5,manmade,new,correctreject,na
167,1119,486772.5,manmade,old,hit,na
168,1119,488409.5,manmade,old,hit,na
169,2041,489850.5,natural,new,correctreject,subsequent_remembered
170,2039,491804,natural,new,falsealarm,na
171,2041,493392.5,natural,new,correctreject,subsequent_remembered
172,2119,495159,natural,old,hit,na
173,2119,497270.5,natural,old,hit,na
174,2119,498761.5,natural,old,hit,na
175,1039,500851,manmade,new,falsealarm,na
176,2119,502608.5,natural,old,hit,na
177,2111,504307.5,natural,old,hit,subsequent_remembered
178,2041,506647,natural,new,correctreject,subsequent_remembered
179,2111,514422.5,natural,old,hit,subsequent_remembered
180,1049,516403,manmade,new,correctreject,na
181,1111,517841.5,manmade,old,hit,subsequent_remembered
182,1129,519874.5,manmade,old,miss,na
183,2111,521487,natural,old,hit,subsequent_remembered
184,2041,522913,natural,new,correctreject,subsequent_remembered
185,2119,524568.5,natural,old,hit,na
186,1049,527044,manmade,new,correctreject,na
187,2119,528718.5,natural,old,hit,na
188,2111,530108.5,natural,old,hit,subsequent_remembered
189,1031,531849.5,manmade,new,falsealarm,subsequent_remembered
190,2111,533940.5,natural,old,hit,subsequent_remembered
191,1119,535540,manmade,old,hit,na
192,1049,536873.5,manmade,new,correctreject,na
193,2119,538982.5,natural,old,hit,na
194,1031,540595.5,manmade,new,falsealarm,subsequent_remembered
195,1119,542197,manmade,old,hit,na
196,1049,543754,manmade,new,correctreject,na
197,1119,546198,manmade,old,hit,na
198,2041,547718,natural,new,correctreject,subsequent_remembered
199,2049,549529,natural,new,correctreject,na
200,1040,551541,manmade,new,correctreject,subsequent_forgotten
201,1039,554378.5,manmade,new,falsealarm,na
202,2120,556227,natural,old,miss,subsequent_forgotten
203,2041,558058,natural,new,correctreject,subsequent_remembered
204,1111,561094.5,manmade,old,hit,subsequent_remembered
205,1111,563104,manmade,old,hit,subsequent_remembered
206,1049,565148,manmade,new,correctreject,na
207,1041,589095,manmade,new,correctreject,subsequent_remembered
208,2111,590682.5,natural,old,hit,subsequent_remembered
209,1049,592231,manmade,new,correctreject,na
210,2040,594318.5,natural,new,correctreject,subsequent_forgotten
211,1049,596242,manmade,new,correctreject,na
212,1040,598256,manmade,new,correctreject,subsequent_forgotten
213,2049,600445,natural,new,correctreject,na
214,2030,602675.5,natural,new,falsealarm,subsequent_forgotten
215,1049,604226.5,manmade,new,correctreject,na
216,1121,605984,manmade,old,miss,subsequent_remembered
217,1111,607782.5,manmade,old,hit,subsequent_remembered
218,1041,609390,manmade,new,correctreject,subsequent_remembered
219,1111,611730.5,manmade,old,hit,subsequent_remembered
220,1049,613732,manmade,new,correctreject,na
221,1031,616390,manmade,new,falsealarm,subsequent_remembered
222,2111,619109.5,natural,old,hit,subsequent_remembered
223,1039,620999,manmade,new,falsealarm,na
224,2119,623119.5,natural,old,hit,na
225,2031,624711,natural,new,falsealarm,subsequent_remembered
226,2119,626520.5,natural,old,hit,na
227,2111,628069.5,natural,old,hit,subsequent_remembered
228,2119,629727.5,natural,old,hit,na
229,1039,631798,manmade,new,falsealarm,na
230,1041,633710.5,manmade,new,correctreject,subsequent_remembered
231,2111,635432,natural,old,hit,subsequent_remembered
232,2119,637930.5,natural,old,hit,na
233,1049,639875,manmade,new,correctreject,na
234,2121,641998.5,natural,old,miss,subsequent_remembered
235,2111,645709,natural,old,hit,subsequent_remembered
236,1030,647645,manmade,new,falsealarm,subsequent_forgotten
237,2049,649253.5,natural,new,correctreject,na
238,2040,651197.5,natural,new,correctreject,subsequent_forgotten
239,2119,652604.5,natural,old,hit,na
240,1119,654319.5,manmade,old,hit,na
241,1049,655976.5,manmade,new,correctreject,na
242,2040,659095,natural,new,correctreject,subsequent_forgotten
243,1049,660467.5,manmade,new,correctreject,na
244,2119,663182.5,natural,old,hit,na
245,1110,665374.5,manmade,old,hit,subsequent_forgotten
246,2041,667360,natural,new,correctreject,subsequent_remembered
247,2049,669996,natural,new,correctreject,na
248,2041,672532,natural,new,correctreject,subsequent_remembered
249,1039,674251,manmade,new,falsealarm,na
250,1120,675797,manmade,old,miss,subsequent_forgotten
251,2119,677420,natural,old,hit,na
252,1031,678854.5,manmade,new,falsealarm,subsequent_remembered
253,2049,680409.5,natural,new,correctreject,na
254,1111,681960,manmade,old,hit,subsequent_remembered
255,1119,683616.5,manmade,old,hit,na
256,1111,698945.5,manmade,old,hit,subsequent_remembered
257,1031,700356.5,manmade,new,falsealarm,subsequent_remembered
258,2049,702230.5,natural,new,correctreject,na
259,2119,704935.5,natural,old,hit,na
260,1040,707061,manmade,new,correctreject,subsequent_forgotten
261,2049,708880.5,natural,new,correctreject,na
262,2129,711134,natural,old,miss,na
263,2041,712966.5,natural,new,correctreject,subsequent_remembered
264,1119,714598,manmade,old,hit,na
265,1119,716208,manmade,old,hit,na
266,1129,718437.5,manmade,old,miss,na
267,2049,720184.5,natural,new,correctreject,na
