trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,2040,24905.5,natural,new,correctreject,subsequent_forgotten
2,1049,28591.5,manmade,new,correctreject,na
3,2040,31294.5,natural,new,correctreject,subsequent_forgotten
4,2049,33419.5,natural,new,correctreject,na
5,1041,35331.5,manmade,new,correctreject,subsequent_remembered
6,2049,36614,natural,new,correctreject,na
7,1041,37781,manmade,new,correctreject,subsequent_remembered
8,2049,38827.5,natural,new,correctreject,na
9,2041,40282,natural,new,correctreject,subsequent_remembered
10,1049,41370,manmade,new,correctreject,na
11,1041,42506.5,manmade,new,correctreject,subsequent_remembered
12,1049,43515,manmade,new,correctreject,na
13,1041,44856.5,manmade,new,correctreject,subsequent_remembered
14,2049,46064.5,natural,new,correctreject,na
15,1111,47326,manmade,old,hit,subsequent_remembered
16,1041,48660,manmade,new,correctreject,subsequent_remembered
17,2049,49822.5,natural,new,correctreject,na
18,2041,51225,natural,new,correctreject,subsequent_remembered
19,2049,53247,natural,new,correctreject,na
20,2031,55791.5,natural,new,falsealarm,subsequent_remembered
21,1049,57631,manmade,new,correctreject,na
22,1041,59472.5,manmade,new,correctreject,subsequent_remembered
23,1111,60834.5,manmade,old,hit,subsequent_remembered
24,2049,62114,natural,new,correctreject,na
25,2121,63348,natural,old,miss,subsequent_remembered
26,1041,65012,manmade,new,correctreject,subsequent_remembered
27,1049,66768,manmade,new,correctreject,na
28,2040,69921.5,natural,new,correctreject,subsequent_forgotten
29,2049,72317.5,natural,new,correctreject,na
30,1040,75553,manmade,new,correctreject,subsequent_forgotten
31,1049,78942,manmade,new,correctreject,na
32,1111,80761,manmade,old,hit,subsequent_remembered
33,2111,82863.5,natural,old,hit,subsequent_remembered
34,2041,85009,natural,new,correctreject,subsequent_remembered
35,1111,86447.5,manmade,old,hit,subsequent_remembered
36,2039,88313,natural,new,falsealarm,na
37,2041,89667.5,natural,new,correctreject,subsequent_remembered
38,2049,91666.5,natural,new,correctreject,na
39,1119,93404.5,manmade,old,hit,na
40,1111,94915,manmade,old,hit,subsequent_remembered
41,2119,96660.5,natural,old,hit,na
42,2111,98229.5,natural,old,hit,subsequent_remembered
43,1041,99968,manmade,new,correctreject,subsequent_remembered
44,2111,101719,natural,old,hit,subsequent_remembered
45,1049,103336.5,manmade,new,correctreject,na
46,2041,104606,natural,new,correctreject,subsequent_remembered
47,2111,106500.5,natural,old,hit,subsequent_remembered
48,1049,108594.5,manmade,new,correctreject,na
49,2119,109997,natural,old,hit,na
50,2041,111302.5,natural,new,correctreject,subsequent_remembered
51,1119,112705.5,manmade,old,hit,na
52,1049,114584,manmade,new,correctreject,na
53,1111,116109.5,manmade,old,hit,subsequent_remembered
54,2041,118331.5,natural,new,correctreject,subsequent_remembered
55,1049,119611.5,manmade,new,correctreject,na
56,1041,121173,manmade,new,correctreject,subsequent_remembered
57,1049,122524.5,manmade,new,correctreject,na
58,2119,124034.5,natural,old,hit,na
59,2041,125519.5,natural,new,correctreject,subsequent_remembered
60,2111,126686.5,natural,old,hit,subsequent_remembered
61,2049,128540,natural,new,correctreject,na
62,1031,129825,manmade,new,falsealarm,subsequent_remembered
63,2121,131284,natural,old,miss,subsequent_remembered
64,1119,132989,manmade,old,hit,na
65,1039,134852.5,manmade,new,falsealarm,na
66,1041,136836,manmade,new,correctreject,subsequent_remembered
67,1111,138410.5,manmade,old,hit,subsequent_remembered
68,1049,139664.5,manmade,new,correctreject,na
69,2031,141451.5,natural,new,falsealarm,subsequent_remembered
70,1119,145122,manmade,old,hit,na
71,2119,146356,natural,old,hit,na
72,2111,147815,natural,old,hit,subsequent_remembered
73,1049,149714,manmade,new,correctreject,na
74,1041,152018,manmade,new,correctreject,subsequent_remembered
75,1119,153725,manmade,old,hit,na
76,1111,155955,manmade,old,hit,subsequent_remembered
77,2039,157641.5,natural,new,falsealarm,na
78,1041,158857.5,manmade,new,correctreject,subsequent_remembered
79,1039,160834,manmade,new,falsealarm,na
80,1111,163613.5,manmade,old,hit,subsequent_remembered
81,2040,165779.5,natural,new,correctreject,subsequent_forgotten
82,2119,168011.5,natural,old,hit,na
83,1119,169345,manmade,old,hit,na
84,2111,171175,natural,old,hit,subsequent_remembered
85,1049,174211,manmade,new,correctreject,na
86,1110,175671.5,manmade,old,hit,subsequent_forgotten
87,2119,177728,natural,old,hit,na
88,2121,179285.5,natural,old,miss,subsequent_remembered
89,1041,181434.5,manmade,new,correctreject,subsequent_remembered
90,1121,182561,manmade,old,miss,subsequent_remembered
91,1119,183923,manmade,old,hit,na
92,2111,185592,natural,old,hit,subsequent_remembered
93,2049,187404,natural,new,correctreject,na
94,1031,188668.5,manmade,new,falsealarm,subsequent_remembered
95,1039,189958.5,manmade,new,falsealarm,na
96,1041,191936.5,manmade,new,correctreject,subsequent_remembered
97,1049,194848,manmade,new,correctreject,na
98,2119,196092,natural,old,hit,na
99,1031,197218,manmade,new,falsealarm,subsequent_remembered
100,2049,199278.5,natural,new,correctreject,na
101,2041,203059.5,natural,new,correctreject,subsequent_remembered
102,1049,205015,manmade,new,correctreject,na
103,1041,207298.5,manmade,new,correctreject,subsequent_remembered
104,1049,209786.5,manmade,new,correctreject,na
105,2121,212274.5,natural,old,miss,subsequent_remembered
106,2031,213806,natural,new,falsealarm,subsequent_remembered
107,2111,214967.5,natural,old,hit,subsequent_remembered
108,2119,216585.5,natural,old,hit,na
109,2049,218269.5,natural,new,correctreject,na
110,1041,219810.5,manmade,new,correctreject,subsequent_remembered
111,2049,221044.5,natural,new,correctreject,na
112,2119,222560,natural,old,hit,na
113,1111,223891,manmade,old,hit,subsequent_remembered
114,1119,225191,manmade,old,hit,na
115,2119,226333,natural,old,hit,na
116,1111,227894.5,manmade,old,hit,subsequent_remembered
117,1041,229025.5,manmade,new,correctreject,subsequent_remembered
118,2039,230459,natural,new,falsealarm,na
119,2111,232799,natural,old,hit,subsequent_remembered
